incident_id,attack_vector_primary,downtime_hours,data_compromised_records,data_type,systems_affected,attack_vector_secondary,attack_chain,company_revenue_usd,employee_count,market_cap_at_disclosure,is_public_company,total_loss_usd,direct_loss_usd,recovery_cost_usd,legal_fees_usd,regulatory_fine_usd,insurance_payout_usd,abnormal_return_1d,abnormal_return_7d,abnormal_return_30d,days_to_price_recovery,volume_ratio_disclosure,p_value_1d,quality_score,quality_grade,confidence_tier,company_name,country_hq,industry_primary,industry_secondary,stock_ticker_x,incident_date,incident_date_estimated,discovery_date,disclosure_date,attributed_group,attribution_confidence,data_source_primary,data_source_secondary,data_source_type,review_flag,notes_x,created_at_x,updated_at_x,direct_loss_method,ransom_demanded_usd,ransom_paid_usd,ransom_source,total_loss_method,total_loss_lower_bound,total_loss_upper_bound,inflation_adjusted_usd,cpi_index_used,notes_y,created_at_y,updated_at_y,stock_ticker_y,price_7d_before,price_disclosure_day,price_1d_after,price_7d_after,price_30d_after,volume_avg_30d_baseline,volume_disclosure_day,sector_index,sector_return_same_period,car_neg1_to_pos1,car_0_to_7,car_0_to_30,car_0_to_90,t_statistic_1d,t_statistic_30d,p_value_30d,earnings_announcement_within_7d,pre_incident_volatility_30d,post_incident_volatility_30d,notes,created_at,updated_at
2021-0111-001,phishing,,221745,financial,"SCADA,website,HR_systems",backdoor,Spear-phishing campaign targeting finance team ? credential harvesting through cloned SSO portal ? email account compromise ? BEC wire transfer or data exfiltration,1024750621.53,1835,3861498370.06,TRUE,2591410.87,1600000,584549.71,406861.16,,564566.39,-0.008545,-0.028599,-0.019019,49,2.3269,1,92.08,Gold,2,Chandra Electric Group Inc.,US,22,,CHAN,2021-01-11,FALSE,2021-01-23,2021-03-15,,,https://www.chandra-electric-group-in.com/newsroom/2021/10/security-update,,company_pr,,Multiple subsidiaries affected across 7 jurisdictions,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z,calculated,,,,disclosed,2032977.68,3348117.87,3074652.53,CPI-U 2021 (270.97),Recovery includes infrastructure rebuild; company migrated to new cloud provider,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z,CHAN,13.77,13.03,12.92,12.66,12.78,347698,809044,S&P 500 Utilities,0.012865,-0.007215,-0.028599,-0.019019,0.003527,-0.6066,-0.6717,1,FALSE,0.020707,0.031208,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2021-0117-001,ransomware,40.54,20656,health,"backup_systems,email,active_directory,customer_database,cloud_infrastructure",,Phishing email with weaponized attachment ? credential theft via Mimikatz ? lateral movement via RDP/SMB ? Active Directory compromise ? ransomware deployment across domain-joined hosts,326937106.57,1233,1378665829.57,TRUE,7428284.68,2827335.54,2387941.53,474124.37,,,-0.046761,-0.089411,-0.056139,325,2.7503,0.77025,94.86,Gold,1,TrustCommerce Financial Co. Ltd.,JP,52,,TRUS.T,2021-01-17,FALSE,2021-01-27,2021-03-17,,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001250779&type=8-K&dateb=20210802&owner=include&count=10,,sec_filing,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z,calculated,2193976.56,1738883.24,blockchain analysis,disclosed,5571388.5,10679676.14,8813497.9,CPI-U 2021 (270.97),Insurance claim partially denied; payout reflects negotiated settlement at 26% of claim,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z,TRUS.T,6.7,6.63,6.32,6.04,6.26,9909525,27253960,S&P 500 Financials,-0.002252,-0.044471,-0.089411,-0.056139,-0.03465,-2.4595,-2.2843,0.85785,FALSE,0.030143,0.03448,Elevated options activity detected 10 days before public disclosure,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2021-0204-001,apt,68.75,6942211,PII,"active_directory,HR_systems,backup_systems,payment_systems",,,6361471497.37,22441,12021652069.56,TRUE,15103657.3,8051455.62,6536705.14,515496.54,,2790140.78,-0.077538,-0.038794,-0.058621,287,2.6328,0.0002,71.59,Silver,2,Frankfurt Holdings GmbH,DE,52,,FRAN.DE,2021-02-04,FALSE,2021-02-06,2021-03-30,BlackBasta,suspected,https://www.frankfurt-holdings-gmbh.com/newsroom/2021/03/security-update,,company_pr,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z,disclosed,,,,estimated,11850123.76,25971974.79,17920160.25,CPI-U 2021 (270.97),Direct costs confirmed via SEC 8-K filing on 2021-04-05,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z,FRAN.DE,52.66,48.15,44.42,46.28,45.33,2490790,6557805,S&P 500 Financials,0.002711,-0.082641,-0.038794,-0.058621,-0.060073,-7.48,-2.5619,0.71905,FALSE,0.014828,0.024426,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2021-0205-001,ransomware,118.21,2956,health,"ERP,active_directory",phishing,,10701624581.02,61054,42570712101.88,TRUE,127339068.77,71193597.51,33276403.61,22869067.65,,,-0.063785,-0.043933,-0.017833,25,2.8056,0.2632,77.33,Silver,1,Chicago Logistics Inc.,US,48-49,,CHIC,2021-02-05,FALSE,2021-08-07,2021-09-12,Hunters_International,suspected,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001877654&type=8-K&dateb=20210107&owner=include&count=10,https://www.chicago-logistics-inc.com/newsroom/2021/11/security-update,sec_filing,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z,disclosed,2273003.75,,,estimated,105251174.74,180888671.15,151085030.11,CPI-U 2021 (270.97),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z,CHIC,143.27,139.92,131,133.77,137.42,2511252,7045652,S&P 500 Industrials,-0.018564,-0.061826,-0.043933,-0.017833,-0.019445,-3.4736,-1.3222,1,FALSE,0.02752,0.052844,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2021-0212-001,phishing,,1426,PII,SSO,,,2062558088.07,20810,11685123769.37,TRUE,27280419.94,12824044.42,12254989.62,2201385.9,,15915041.55,0.006216,-0.010496,-0.00957,43,3.109,1,81.05,Silver,1,Atlas Quartz Group Co.,US,72,,ATLA,2021-02-12,FALSE,2021-02-14,2021-03-22,,,https://www.edpb.europa.eu/decisions/2021/02/INQ-2021-00388,https://www.crowdstrike.com/blog/atlas-quartz-group-c-intrusion-analysis-2021/,gdpr_notification,,Third-party managed service provider was initial entry point,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z,disclosed,,,,calculated,19840279.51,39861209.88,32367623.76,CPI-U 2021 (270.97),Business interruption losses estimated from quarterly revenue delta,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z,ATLA,29.24,26.62,26.79,26.34,26.37,2273119,7067021,S&P 500 Consumer Discretionary,0.005736,0.005239,-0.010496,-0.00957,0.007163,0.3662,-0.3839,1,TRUE,0.030279,0.052768,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2021-0213-001,data_breach,,321215,credentials,payment_systems,,Misconfigured cloud storage bucket discovered by automated scanner ? bulk data download over 72 hours ? data posted to dark web marketplace,733412842.38,8169,2984412393.86,TRUE,7790462.07,4864706.42,1593635.93,1332119.72,,2496437.92,-0.029562,-0.012044,-0.010566,24,2.5748,1,71.71,Silver,3,Stuttgart Distribution SE,DE,44-45,,STUT.DE,2021-02-13,TRUE,2021-02-14,2021-04-05,,,https://www.crowdstrike.com/blog/stuttgart-distributi-intrusion-analysis-2021/,https://www.bleepingcomputer.com/news/security/stuttgart-distribution-se-hit-by-cyberattack-2021/,cybersecurity_firm,,Multiple subsidiaries affected across 8 jurisdictions,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z,estimated,,,,calculated,5394998.39,12613049.29,9243213.48,CPI-U 2021 (270.97),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z,STUT.DE,5.34,5.43,5.27,5.36,5.37,2521343,6491913,S&P 500 Consumer Discretionary,-0.006342,-0.027836,-0.012044,-0.010566,-0.008723,-1.6203,-0.5624,1,FALSE,0.02798,0.030972,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2021-0224-001,trojan,,19166,IP,"customer_database,manufacturing_OT,payment_systems,file_servers,CRM",apt,,937253476.98,2650,2908116188.19,TRUE,216102119.25,126529219.39,75658734.87,13704801.29,209363.7,,-0.036177,-0.038476,-0.010741,57,3.4436,1,88.5,Gold,3,Trident Wave Robotics Co.,US,51,,TWR,2021-02-24,FALSE,2021-02-27,2021-04-22,Conti,unknown,https://www.theregister.com/2021/06/19/trident-wave-robotic_security_incident/,https://www.crowdstrike.com/blog/trident-wave-robotic-intrusion-analysis-2021/,verified_media,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z,estimated,,,,disclosed,142029157.87,331790791.52,256400455.18,CPI-U 2021 (270.97),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z,TWR,9.23,9.42,9.08,9.06,9.32,402817,1387133,S&P 500 Information Technology,0.01013,-0.043255,-0.038476,-0.010741,-0.019576,-1.9386,-0.4971,1,FALSE,0.028992,0.040429,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2021-0224-002,ransomware,61.32,142080,mixed,"website,backup_systems,SSO",malware,Phishing email with weaponized attachment ? credential theft via Mimikatz ? lateral movement via RDP/SMB ? Active Directory compromise ? ransomware deployment across domain-joined hosts,124051345.28,344,877768344.55,TRUE,347604.06,180000,148877.99,18726.07,,,-0.064848,-0.071511,-0.013981,44,3.8227,0.0002,99.78,Gold,3,LineDirect Group Co.,NO,42,,LINE.OL,2021-02-24,FALSE,2021-03-29,2021-05-13,Hunters_International,unknown,https://unit42.paloaltonetworks.com/threat-brief-linedirect-group-co-2021/,,cybersecurity_firm,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z,calculated,6278253.39,,,disclosed,227197.69,486939.74,412424.64,CPI-U 2021 (270.97),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z,LINE.OL,12.96,13.57,12.69,12.6,13.38,1151372,4401391,S&P 500,-0.006348,-0.058236,-0.071511,-0.013981,-0.009091,-5.6686,-0.5003,1,FALSE,0.039092,0.051572,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2021-0315-001,phishing,,1107796,mixed,"HR_systems,CRM,VPN",,Spear-phishing campaign targeting finance team ? credential harvesting through cloned SSO portal ? email account compromise ? BEC wire transfer or data exfiltration,139825903.53,912,648911379.54,TRUE,9354133.8,4682151.47,3642946.48,1029035.85,,1772460.33,-0.03953,-0.033979,-0.045737,324,3.0973,0.0002,94.51,Gold,2,Sterling Forge Markets Holdings Inc.,US,44-45,,SFM,2021-03-15,FALSE,2021-04-03,2021-07-03,,,https://www.sterling-forge-markets-ho.com/newsroom/2021/10/security-update,https://www.mandiant.com/resources/blog/sterling-forge-marke-incident-response-2021,company_pr,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z,disclosed,,,,disclosed,7648967.81,14525208.78,11098475.91,CPI-U 2021 (270.97),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z,SFM,9.37,9.09,8.73,8.78,8.67,458826,1421143,S&P 500 Consumer Discretionary,0.002086,-0.04001,-0.033979,-0.045737,-0.007916,-5.5269,-2.0352,0.9824,FALSE,0.017116,0.027638,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2021-0317-001,apt,19.97,1000,mixed,"website,email,ERP,backup_systems",ddos,Zero-day exploit in edge device ? fileless implant in memory ? scheduled task persistence ? low-and-slow data staging ? encrypted exfiltration over DNS tunneling,20153961059.2,219647,128872957005.83,TRUE,66687719.84,42445466.2,15890448.89,8351804.75,,10770959.08,-0.065307,-0.080396,0.00437,16,2.7214,0.0002,79.81,Silver,1,Okonkwo Retail Holdings PLC,GB,44-45,,OKON.L,2021-03-17,FALSE,2021-03-27,2021-04-28,Scattered_Spider,suspected,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001813537&type=8-K&dateb=20211213&owner=include&count=10,,sec_filing,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z,disclosed,,,,disclosed,49565346.16,101512705.18,79123526.33,CPI-U 2021 (270.97),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z,OKON.L,137.05,135.14,126.31,124.28,135.73,1980745,5390415,S&P 500 Consumer Discretionary,0.019761,-0.06919,-0.080396,0.00437,0.01165,-4.1753,0.2729,1,FALSE,0.03897,0.074349,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
